SpatialDim,ParentLocation,TimeDim,PM25_mean,PM25_lower_CI,PM25_upper_CI
SWZ,Africa,2019,15.07308,10.5621,20.00738
THA,South-East Asia,2016,26.42045,24.16391,28.98781
POL,Europe,2011,27.01823,26.38234,27.56379
UKR,Europe,2010,17.81272,13.50131,24.119
GNQ,Africa,2016,26.95478,6.02987,75.59084
SRB,Europe,2012,27.87856,25.82576,29.70509
WPR,,2011,43.79521,38.90254,49.66564
CHE,Europe,2018,10.01045,9.76644,10.29482
419,,2010,17.97146,16.71219,19.09285
CAN,Americas,2019,6.38944,6.21184,6.58921
EGY,Eastern Mediterranean,2017,62.04866,39.89068,90.79429
TTO,Americas,2013,9.79067,7.69235,11.98694
MDV,South-East Asia,2015,12.22996,9.75459,16.32269
GUY,Americas,2011,10.08629,5.37267,15.84878
TUV,Western Pacific,2012,6.86974,2.95436,13.43109
IRL,Europe,2011,10.60182,9.90854,11.17319
MNG,Western Pacific,2011,51.57723,38.50291,69.82998
GBR,Europe,2019,9.51575,9.171,9.82499
BRA,Americas,2017,14.86497,12.81992,17.84735
GIN,Africa,2016,39.27696,22.66406,76.25264
VCT,Americas,2019,9.41283,6.18131,13.21332
62,,2019,48.30671,46.17471,50.67482
NPL,South-East Asia,2013,41.79461,36.08686,49.79003
LKA,South-East Asia,2016,25.46074,19.49808,33.8143
ZWE,Africa,2019,13.07553,7.04886,22.69996
PNG,Western Pacific,2017,8.8705,3.08986,20.03146
543,,2012,8.1255,3.23345,18.30424
SVK,Europe,2019,15.89146,15.15177,16.68683
BWA,Africa,2019,12.8184,9.27155,18.77656
CMR,Africa,2011,54.40143,37.07266,76.8173
GTM,Americas,2019,20.74787,16.17854,26.65286
BWA,Africa,2017,13.11235,9.34494,19.29857
AND,Europe,2015,9.94171,8.72074,11.68
KNA,Americas,2010,7.9259,5.55496,10.52647
PER,Americas,2016,29.48786,22.69985,37.50371
ROU,Europe,2017,15.3241,14.58222,15.94016
ISL,Europe,2016,5.68914,5.03209,6.31883
BDI,Africa,2012,28.28679,10.77185,61.6126
53,,2013,7.29631,6.93373,7.61962
FRA,Europe,2019,10.45709,10.26675,10.65369
HTI,Americas,2010,9.56173,5.33002,16.77126
WSM,Western Pacific,2011,7.48468,2.893,18.6846
GBR,Europe,2018,10.06647,9.71265,10.39658
MAR,Eastern Mediterranean,2017,13.91456,11.23902,17.21129
CYP,Europe,2017,14.60062,12.94112,16.16282
SSD,Africa,2018,21.9397,10.95454,40.48385
BDI,Africa,2019,27.99587,11.05398,60.89269
SAU,Eastern Mediterranean,2018,58.30433,41.14879,77.32955
FJI,Western Pacific,2012,7.10199,4.08061,11.78405
SRB,Europe,2013,26.16852,23.97946,27.9922
TUV,Western Pacific,2010,6.76436,2.95856,13.29012
NAM,Africa,2010,11.93522,6.18205,19.06079
UKR,Europe,2018,14.23927,10.76129,19.96802
SMR,Europe,2011,13.43533,11.20228,15.77099
UKR,Europe,2017,12.93489,9.41524,17.79855
SAU,Eastern Mediterranean,2019,57.15638,40.08529,76.03679
419,,2012,17.7784,16.59584,18.68428
53,,2019,8.88227,8.57049,9.20649
NIU,Western Pacific,2016,6.75023,3.3052,13.3064
VCT,Americas,2014,9.55157,6.33839,12.70111
CRI,Americas,2019,14.69544,12.73385,17.14028
513,,2012,12.64094,12.27399,13.00531
BLZ,Americas,2010,9.91087,4.10912,20.14463
ITA,Europe,2019,14.22481,13.99045,14.43528
AZE,Europe,2013,31.35332,18.23163,51.63799
BHS,Americas,2010,4.96926,3.48193,7.04126
KWT,Eastern Mediterranean,2018,66.04878,57.25722,75.10032
COL,Americas,2012,17.18047,14.86967,19.89645
NLD,Europe,2010,15.01226,14.46826,15.59742
NER,Africa,2012,49.83186,21.38548,99.26642
EGY,Eastern Mediterranean,2012,60.50464,39.13121,88.35211
MYS,Western Pacific,2015,21.43982,19.58838,23.56801
MDA,Europe,2010,16.83486,12.48642,21.59306
LTU,Europe,2012,12.194,11.20992,13.43003
LMI_EUR,,2016,19.88818,17.79214,22.74866
HND,Americas,2010,22.41273,16.27811,30.00908
SOM,Eastern Mediterranean,2012,14.60625,7.56304,24.89707
AZE,Europe,2016,28.84057,16.23242,45.55726
ISL,Europe,2018,5.88924,5.20338,6.56483
HI_AMR,,2011,9.82576,9.66705,9.97217
UGA,Africa,2015,31.65182,19.97599,47.63427
543,,2016,8.42052,3.44882,18.14097
IDN,South-East Asia,2016,20.77603,17.39609,25.34706
FJI,Western Pacific,2010,7.19301,3.78932,12.38893
SWE,Europe,2013,6.61276,6.30935,6.91358
SEN,Africa,2018,39.07941,22.32002,58.43738
DMA,Americas,2014,8.35549,5.79915,11.68407
ESP,Europe,2012,11.8292,11.60505,12.07726
WSM,Western Pacific,2010,7.40466,2.83996,17.03043
MDA,Europe,2014,15.64055,11.76669,19.40139
62,,2012,53.65272,51.45487,55.9736
AUT,Europe,2013,13.98012,13.593,14.42503
DNK,Europe,2014,10.39104,9.48298,11.48063
MKD,Europe,2011,36.51749,34.12826,39.83784
GNQ,Africa,2015,27.28679,6.0131,77.48017
BGD,South-East Asia,2019,45.98906,41.64632,51.00336
BGR,Europe,2012,22.21629,21.11547,23.33725
COD,Africa,2012,32.14339,7.10835,102.86786
LMI_EUR,,2011,22.52926,20.17088,25.8418
AUT,Europe,2012,14.24784,13.85472,14.70528
DJI,Eastern Mediterranean,2011,20.825,7.69446,44.30809
IRQ,Eastern Mediterranean,2012,38.56523,31.31601,48.35454
GLOBAL,,2019,31.69578,30.06121,33.61536
KIR,Western Pacific,2012,7.54133,3.25824,15.31986
GBR,Europe,2014,10.95413,10.54567,11.27995
PRK,South-East Asia,2010,50.40548,37.98226,65.52334
MKD,Europe,2017,29.25548,27.29786,31.81351
DOM,Americas,2014,7.69651,4.78944,11.31591
LKA,South-East Asia,2018,23.12285,16.81162,30.74675
BRA,Americas,2018,11.15102,9.64175,13.05544
DEU,Europe,2011,15.41786,15.13978,15.6973
IND,South-East Asia,2019,50.17359,47.86732,52.42847
202,,2018,33.14215,25.6133,43.24276
UKR,Europe,2019,13.50727,10.04503,18.448
NLD,Europe,2019,10.7416,10.38725,11.13215
ERI,Africa,2015,22.33113,9.09241,47.92936
GEO,Europe,2017,21.05663,16.33996,26.09718
ATG,Americas,2016,8.9538,6.03262,13.15228
MEX,Americas,2012,22.2395,20.14795,24.06829
PLW,Western Pacific,2019,7.82424,2.92714,17.41972
TKM,Europe,2011,35.85101,22.57975,54.62602
KEN,Africa,2013,12.44209,7.76801,17.61332
KGZ,Europe,2010,44.68326,29.28287,67.0646
YEM,Eastern Mediterranean,2010,38.82749,13.65455,77.62722
LMI_EMR,,2015,44.08196,38.208,50.49314
SWZ,Africa,2013,14.89782,10.43719,19.69455
STP,Africa,2019,33.74991,17.15764,58.3449
LCA,Americas,2016,9.56065,6.80064,13.51652
PAK,Eastern Mediterranean,2015,55.89503,45.37256,67.79877
AFG,Eastern Mediterranean,2016,64.00314,46.00713,87.23201
OMN,Eastern Mediterranean,2018,36.67529,22.91051,60.7818
MMR,South-East Asia,2013,29.31366,25.42946,33.73106
513,,2017,10.84737,10.53511,11.23554
BWA,Africa,2015,12.88574,9.29275,19.00986
AUS,Western Pacific,2015,6.6018,6.30652,6.93227
NLD,Europe,2015,12.58504,12.14621,13.08292
ESP,Europe,2016,10.03888,9.85031,10.2635
UNKNOWN,,2014,16.62723,13.41702,20.32519
SUR,Americas,2017,13.30251,7.73213,21.33778
BGR,Europe,2011,24.29317,23.14418,25.55143
MLI,Africa,2014,38.38143,14.761,84.32367
HND,Americas,2018,20.02576,14.30142,26.61986
GRD,Americas,2015,10.76191,7.6934,13.56309
BEN,Africa,2016,32.72527,20.63748,49.52052
MDV,South-East Asia,2013,13.66561,10.88157,18.01341
CPV,Africa,2011,31.06129,16.51798,56.59063
SUR,Americas,2014,12.23399,6.69568,19.32879
SEAR,,2017,44.26394,42.86644,46.03661
CRI,Americas,2015,18.31777,15.71759,21.91936
SLB,Western Pacific,2015,7.85858,2.85398,14.45147
SYR,Eastern Mediterranean,2015,24.75272,20.41686,29.89003
DEU,Europe,2013,13.26872,13.0488,13.49007
ARM,Europe,2012,45.89738,31.89633,68.07713
HI_EMR,,2019,53.1438,41.87343,65.88751
GEO,Europe,2010,22.83911,17.2407,29.46214
LBY,Eastern Mediterranean,2014,29.98407,14.78603,51.18655
CAN,Americas,2015,7.15364,6.97386,7.36702
BEN,Africa,2011,31.36923,20.34707,47.16818
PAN,Americas,2013,15.21319,11.10753,19.10755
NPL,South-East Asia,2014,40.29809,34.88047,48.12009
BFA,Africa,2013,38.51253,16.1966,85.32038
DJI,Eastern Mediterranean,2019,19.98484,7.70165,41.72747
TGO,Africa,2014,34.92123,21.2771,56.48288
GUY,Americas,2013,10.41427,5.35318,16.78705
PAN,Americas,2012,14.52209,10.42,18.81676
TKM,Europe,2019,26.40925,17.34856,38.92722
ARM,Europe,2019,34.12674,24.44218,47.09907
LUX,Europe,2016,9.74615,9.18921,10.33343
62,,2014,53.5476,50.88921,56.27854
202,,2010,31.79272,24.56158,41.63795
MLT,Europe,2015,13.853,12.71316,15.34682
GNQ,Africa,2012,25.52585,6.05878,70.5311
SWZ,Africa,2010,14.96722,10.50528,19.7863
QAT,Eastern Mediterranean,2018,62.6647,48.35637,75.02082
RUS,Europe,2015,9.48913,7.70295,11.56542
MWI,Africa,2012,18.96952,6.25719,39.3039
PLW,Western Pacific,2015,8.01579,3.00284,18.78435
BGD,South-East Asia,2017,46.18553,41.55117,50.85063
FSM,Western Pacific,2012,7.46286,3.5419,15.40411
ALB,Europe,2013,19.77038,17.95276,22.19475
JPN,Western Pacific,2014,13.41395,12.44729,14.2896
COD,Africa,2016,32.98959,7.18372,106.50362
IRN,Eastern Mediterranean,2019,31.61622,27.47198,35.51562
BHR,Eastern Mediterranean,2016,52.90089,46.87084,59.14804
RUS,Europe,2016,8.71282,7.07069,11.02567
GLOBAL,,2017,33.94279,32.33539,35.83812
BGR,Europe,2013,21.16338,20.18781,22.29546
LUX,Europe,2012,11.32265,10.67339,11.94966
NZL,Western Pacific,2013,7.50781,7.13262,8.15124
RWA,Africa,2015,34.68945,11.95406,69.69926
PHL,Western Pacific,2019,22.45141,19.16015,25.91234
CHL,Americas,2016,23.74832,22.41596,25.50076
KGZ,Europe,2011,50.69917,34.28798,75.58997
CHN,Western Pacific,2011,51.9203,45.84776,59.44553
TJK,Europe,2016,62.72654,42.52131,90.40866
URY,Americas,2013,9.72178,7.51592,12.06226
CMR,Africa,2013,53.04467,36.93417,73.58737
BEL,Europe,2014,13.12651,12.69545,13.57019
EST,Europe,2012,7.37921,6.70038,8.08678
AFR,,2014,31.84252,24.99303,41.33236
GAB,Africa,2010,25.25444,6.48763,76.66222
UKR,Europe,2014,16.58483,12.50355,22.9645
VEN,Americas,2010,20.66606,14.59981,28.31582
MAR,Eastern Mediterranean,2010,13.1705,10.82359,16.36037
VUT,Western Pacific,2018,8.80598,3.15614,18.92529
BHS,Americas,2014,5.31808,3.87092,7.48432
MEX,Americas,2015,21.79878,20.36631,23.74425
PLW,Western Pacific,2016,7.58828,2.79118,16.20298
SGP,Western Pacific,2013,16.58208,12.9125,21.85361
UKR,Europe,2015,14.66802,10.95252,19.90991
SLV,Americas,2010,26.92661,17.69923,39.57994
IRN,Eastern Mediterranean,2018,32.17821,27.93298,36.30077
CMR,Africa,2015,59.08734,39.2026,85.56132
KWT,Eastern Mediterranean,2019,64.07714,55.65258,72.48839
CPV,Africa,2010,28.17148,14.98019,49.69306
BGR,Europe,2017,20.30481,19.32013,21.26383
PHL,Western Pacific,2014,21.54303,18.51304,24.82628
FRA,Europe,2015,12.20689,11.98647,12.42366
NAM,Africa,2017,11.97733,6.30703,19.04216
MEX,Americas,2018,18.75159,17.54964,19.9187
LMI_SEAR,,2019,43.59033,42.01163,45.44101
UZB,Europe,2015,48.46156,35.69161,68.97065
LBY,Eastern Mediterranean,2012,28.5302,14.46744,48.78231
IDN,South-East Asia,2010,20.59222,16.4998,24.62591
PRY,Americas,2011,15.8887,11.97168,23.18896
BHS,Americas,2011,4.91879,3.50297,7.48349
LTU,Europe,2019,10.36907,9.2866,11.21916
LMI_EMR,,2013,45.12438,39.42831,51.70652
SEN,Africa,2012,38.97932,22.00887,58.20181
GNQ,Africa,2014,24.11408,6.07276,65.38826
CHN,Western Pacific,2010,47.18253,44.59471,49.37545
MOZ,Africa,2010,16.64926,8.54007,26.72765
MKD,Europe,2015,29.51055,27.67908,32.20427
DNK,Europe,2012,11.44257,10.47187,12.59488
GUY,Americas,2014,11.08202,5.75181,17.32938
NOR,Europe,2010,7.86369,7.43527,8.25533
COM,Africa,2013,14.0733,7.24737,22.68487
CHL,Americas,2011,22.50082,20.32126,24.73269
BEL,Europe,2016,12.36674,11.94126,12.75846
ROU,Europe,2015,15.41342,14.83141,16.07208
BTN,South-East Asia,2018,28.72968,25.76962,31.56663
ITA,Europe,2011,20.72886,20.32311,21.03974
AFR,,2018,32.94913,25.86876,42.66367
NZL,Western Pacific,2010,9.34902,8.414,10.18754
ZAF,Africa,2013,18.81701,17.62334,20.76243
UGA,Africa,2013,31.79322,20.01345,47.93098
IRL,Europe,2013,9.32749,8.71596,9.85618
USA,Americas,2014,8.62258,8.47744,8.77361
COK,Western Pacific,2014,7.36474,3.2083,16.83613
KGZ,Europe,2012,50.3221,34.05663,69.4331
WSM,Western Pacific,2016,7.61736,2.86898,18.18091
SVK,Europe,2010,21.69566,20.5814,22.79762
OMN,Eastern Mediterranean,2011,35.90277,22.60259,59.22641
JPN,Western Pacific,2018,10.86894,10.12653,11.64707
ECU,Americas,2013,18.12336,15.18718,20.96793
CHL,Americas,2018,21.46726,18.76713,24.24314
ZAF,Africa,2016,19.07406,17.8662,21.04971
GHA,Africa,2016,49.58518,31.76979,77.18017
SEN,Africa,2010,36.73364,21.18505,55.40315
KEN,Africa,2011,12.42852,7.76813,17.58104
AMR,,2014,14.28605,13.64871,14.83327
SLB,Western Pacific,2011,7.37153,2.64041,14.75282
ALB,Europe,2011,22.9965,20.5653,25.74749
PAN,Americas,2011,14.78085,10.91014,19.08976
SOM,Eastern Mediterranean,2016,14.39752,7.60393,24.55048
BRN,Western Pacific,2015,7.81317,6.53291,9.47028
GTM,Americas,2014,25.22439,19.9649,32.26176
53,,2014,6.95679,6.65374,7.19512
PRK,South-East Asia,2018,43.532,33.03798,56.34065
JOR,Eastern Mediterranean,2017,25.28584,22.26325,28.51291
BEN,Africa,2018,32.33744,20.68534,48.67599
BWA,Africa,2013,12.80619,9.22527,18.87283
LMI_EMR,,2014,43.77305,38.14681,50.18312
MDA,Europe,2018,13.29578,9.8514,17.24149
TZA,Africa,2012,15.55412,10.88422,23.07024
LMI_EUR,,2017,19.48846,17.47628,22.09052
THA,South-East Asia,2010,26.36311,22.69149,30.87825
KHM,Western Pacific,2011,17.31448,15.22937,19.9309
KOR,Western Pacific,2013,28.54048,27.58024,29.37552
BGD,South-East Asia,2012,50.8172,46.02346,55.91933
TZA,Africa,2016,15.60301,11.03631,23.10246
GTM,Americas,2011,27.38173,21.69861,36.22304
DNK,Europe,2011,12.98285,11.82434,14.32845
EST,Europe,2017,5.89878,5.21202,6.51319
BEL,Europe,2017,12.32764,11.89874,12.72787
KEN,Africa,2017,12.51088,7.79705,17.72132
TLS,South-East Asia,2012,20.7288,8.8656,41.52821
NIU,Western Pacific,2014,6.51817,3.1496,14.02243
SDN,Eastern Mediterranean,2019,21.42613,11.00884,38.90852
202,,2013,31.71878,24.43323,41.38021
LBR,Africa,2015,37.68039,18.81402,68.69351
BOL,Americas,2014,27.47979,20.11819,37.70195
TUR,Europe,2013,23.0713,21.68781,24.34531
SLB,Western Pacific,2019,7.8289,2.86279,14.99982
DNK,Europe,2015,10.72585,9.78378,11.81336
SLE,Africa,2019,39.4217,17.81869,74.98595
HI_AMR,,2015,8.96712,8.8471,9.12531
